Site Name,Address,City,Zip Code,Latitude,Longitude,SD,Disadvantage Community,PORT COUNT,Provision Date ,Status,Accessibility,Fee,Paid Parking Lot
ACWM Arcadia,12300 Lower Azusa Road,Arcadia,91706,34.088004,-117.999965,5,Yes,8,10/16/2023,Active,Employee and Fleet,Yes,No
ACWM South Gate,11012 Garfield Ave,South Gate,90280,33.927571,-118.16778,4,Yes,13,2/12/2024,Active,Employee and Fleet,Yes,No
ADD Altadena,730 E Altadena Dr,Altadena,91001,34.189711,-118.133199,5,No,10,12/12/2023,Active,Public,Yes,No
ADD Antelope Valley Senior Center,777 W Jackman Street,Lancaster,93534,34.702216,-118.144943,5,Yes,20,6/25/2025,Active,Public,Yes,No
ADD Los Nietos,11640 Slauson Ave,Whittier,90606,33.964156,-118.067134,4,Yes,12,7/8/2024,Active,Public,Yes,No
Animal Care HQ,5898 Cherry Ave,Long Beach ,90805,33.861902,-118.168061,4,Yes,8,2/24/2023,Active,Public,Yes,No
Assessor Signal Hill,1401 E Willow Street,Signal Hill,90755,33.804941,-118.173514,4,Yes,20,12/22/2022,Active,Public,Yes,No
BioScienceLA,4130 Overland Ave,Culver City,90230,34.012962,-118.401312,2,No,2,10/7/2021,Offline ,Public,Yes,No
DBH Admin,13851 Fiji Way,Marina Del Rey,90292,33.970423,-118.445961,2,No,10,9/2/2022,Active,Public,Yes,No
DBH Lot 77 1,13560 - 13575 Mindanao Way  ,Marina Del Rey,90292,33.977931,-118.443032,2,No,2,9/19/2020,Active,Public,Yes,Yes
DBH Lot 77 2,13575 Mindanao Way ,Marina Del Rey,90292,33.977931,-118.443032,2,No,3,9/19/2020,Active,Public,Yes,Yes
DBH MDR Lot 5,4545 Admiralty Way,Marina Del Rey,90292,33.982275,-118.442,2,No,40,6/11/2025,Active,Public,Yes,No
DBH Zuma Beach Lot 5,30100 Pacific Coast Highway,Malibu,90265,34.019635,-118.827779,3,No,20,10/28/2023,Active,Public,Yes,Yes
DCFS Vermont,8300 S Vermont Ave,Los Angeles,90044,33.962802,-118.290358,2,Yes,20,2/6/2024,Active,Public,Yes,No
DCFS Yaroslavsky Family Support Center,7555 Van Nuys Blvd,Van Nuys,91405,34.206974,-118.449358,3,Yes,7,9/16/2020,Active,Public,Yes,No
DHS 313 Fig,313 N Figueroa St,Los Angeles,90012,34.060148,-118.250747,1,Yes,40,5/19/2021,Active,Public,Yes,No
DHS Harbor UCLA Lot P3,1000 W Carson St,Torrance,90502,33.830283,-118.295303,2,Yes,10,12/9/2023,Active,Public,Yes,No
